DATE,TENOR,OFFER,BID
6/1/2023,9 - Month,21.92,22.42
6/1/2023,1 - Year,21.93,22.43
7/31/2023,1 - Week,21.58,22.08
7/31/2023,2 - Week,21.88,22.38
7/31/2023,1 - Month,22.27,22.77
7/31/2023,3 - Month,22.89,23.14
7/31/2023,6 - Month,22.97,23.22
7/31/2023,9 - Month,22.99,23.49
7/31/2023,1 - Year,22.99,23.49
7/27/2023,1 - Week,21.47,21.97
7/27/2023,2 - Week,21.77,22.27
7/27/2023,1 - Month,22.21,22.71
7/27/2023,3 - Month,22.87,23.12
7/27/2023,6 - Month,22.92,23.17
7/27/2023,9 - Month,22.93,23.43
7/27/2023,1 - Year,22.93,23.43
7/26/2023,1 - Week,21.34,21.84
7/26/2023,2 - Week,21.68,22.18
7/26/2023,1 - Month,22.19,22.69
7/26/2023,3 - Month,22.87,23.12
7/26/2023,6 - Month,22.94,23.19
7/26/2023,9 - Month,22.93,23.43
7/26/2023,1 - Year,22.94,23.44
7/25/2023,1 - Week,21.4,21.9
7/25/2023,2 - Week,21.71,22.21
7/25/2023,1 - Month,22.15,22.65
7/25/2023,3 - Month,22.84,23.09
7/25/2023,6 - Month,22.9,23.15
7/25/2023,9 - Month,22.92,23.42
7/25/2023,1 - Year,22.92,23.42
7/24/2023,1 - Week,21.39,21.89
7/24/2023,2 - Week,21.67,22.17
7/24/2023,1 - Month,22.13,22.63
7/24/2023,3 - Month,22.81,23.06
7/24/2023,6 - Month,22.89,23.14
7/24/2023,9 - Month,22.9,23.4
7/24/2023,1 - Year,22.91,23.41
7/21/2023,1 - Week,21.46,21.96
7/21/2023,2 - Week,21.72,22.22
7/21/2023,1 - Month,22.08,22.58
7/21/2023,3 - Month,22.78,23.03
7/21/2023,6 - Month,22.88,23.13
7/21/2023,9 - Month,22.89,23.39
7/21/2023,1 - Year,22.91,23.41
7/20/2023,1 - Week,21.55,22.05
7/20/2023,2 - Week,21.78,22.28
7/20/2023,1 - Month,22.09,22.59
7/20/2023,3 - Month,22.73,22.98
7/20/2023,6 - Month,22.83,23.08
7/20/2023,9 - Month,22.84,23.34
7/20/2023,1 - Year,22.86,23.36
7/19/2023,1 - Week,21.57,22.07
7/19/2023,2 - Week,21.76,22.26
7/19/2023,1 - Month,22.04,22.54
7/19/2023,3 - Month,22.59,22.84
7/19/2023,6 - Month,22.76,23.01
7/19/2023,9 - Month,22.77,23.27
7/19/2023,1 - Year,22.83,23.33
7/18/2023,1 - Week,21.56,22.06
7/18/2023,2 - Week,21.67,22.17
7/18/2023,1 - Month,21.93,22.43
7/18/2023,3 - Month,22.45,22.7
7/18/2023,6 - Month,22.66,22.91
7/18/2023,9 - Month,22.67,23.17
7/18/2023,1 - Year,22.68,23.18
7/17/2023,1 - Week,21.53,22.03
7/17/2023,2 - Week,21.65,22.15
7/17/2023,1 - Month,21.92,22.42
7/17/2023,3 - Month,22.39,22.64
7/17/2023,6 - Month,22.65,22.9
7/17/2023,9 - Month,22.67,23.17
7/17/2023,1 - Year,22.69,23.19
7/14/2023,1 - Week,21.58,22.08
7/14/2023,2 - Week,21.68,22.18
7/14/2023,1 - Month,21.9,22.4
7/14/2023,3 - Month,22.36,22.61
7/14/2023,6 - Month,22.64,22.89
7/14/2023,9 - Month,22.65,23.15
7/14/2023,1 - Year,22.65,23.15
7/13/2023,1 - Week,21.69,22.19
7/13/2023,2 - Week,21.77,22.27
7/13/2023,1 - Month,21.93,22.43
7/13/2023,3 - Month,22.44,22.69
7/13/2023,6 - Month,22.7,22.95
7/13/2023,9 - Month,22.7,23.2
7/13/2023,1 - Year,22.69,23.19
7/12/2023,1 - Week,21.69,22.19
7/12/2023,2 - Week,21.8,22.3
7/12/2023,1 - Month,22,22.5
7/12/2023,3 - Month,22.67,22.92
7/12/2023,6 - Month,22.77,23.02
7/12/2023,9 - Month,22.78,23.28
7/12/2023,1 - Year,22.8,23.3
7/11/2023,1 - Week,21.67,22.17
7/11/2023,2 - Week,21.79,22.29
7/11/2023,1 - Month,22.01,22.51
7/11/2023,3 - Month,22.64,22.89
7/11/2023,6 - Month,22.74,22.99
7/11/2023,9 - Month,22.78,23.28
7/11/2023,1 - Year,22.8,23.3
7/10/2023,1 - Week,21.68,22.18
7/10/2023,2 - Week,21.81,22.31
7/10/2023,1 - Month,22.03,22.53
7/10/2023,3 - Month,22.65,22.9
7/10/2023,6 - Month,22.73,22.98
